date,hour,Open,High,Low,Close,Adj Close,Volume,id,replyCount,retweetCount,likeCount,quoteCount,conversationId,retweetedTweet,inReplyToTweetId,neg,neu,pos,compound
2021-10-31 20:00:00+00:00,20,82.98999786376953,83.23999786376953,82.95999908447266,83.08000183105469,83.08000183105469,3487.0,1.4549079512323072e+18,2.0,0.0,1.0,0.0,1.4549033499046134e+18,,1.454907336544465e+18,0.104,0.896,0.0,-0.1027
2021-11-02 23:00:00+00:00,23,82.38999938964844,82.63999938964844,82.33000183105469,82.62999725341797,82.62999725341797,3398.0,1.455668985043751e+18,0.0,0.0,0.0,0.0,1.4555099691434803e+18,,1.455577054578045e+18,0.124,0.782,0.094,0.0258
2021-11-03 02:00:00+00:00,2,82.58000183105469,82.80000305175781,82.44999694824219,82.7300033569336,82.7300033569336,5418.0,1.4557227700215112e+18,0.0,1.0,1.0,0.0,1.4557227700215112e+18,,,0.085,0.915,0.0,-0.3612
2021-11-03 21:00:00+00:00,21,80.06999969482422,80.12000274658203,79.73999786376953,79.91999816894531,79.91999816894531,10203.0,1.4559991662414643e+18,0.0,1.0,0.0,0.0,1.4559991662414643e+18,,,0.084,0.783,0.133,0.1779
2021-11-04 00:00:00+00:00,0,80.0,80.0999984741211,79.94999694824219,80.02999877929688,80.02999877929688,1789.0,1.4560487635297485e+18,0.0,0.0,0.0,0.0,1.4560329175080428e+18,,1.4560329175080428e+18,0.128,0.872,0.0,-0.296
2021-11-04 01:00:00+00:00,1,80.02999877929688,80.23999786376953,80.0199966430664,80.22000122070312,80.22000122070312,3574.0,1.45605682116941e+18,1.0,0.0,0.0,0.0,1.45605682116941e+18,,,0.08,0.871,0.049,-0.2033
2021-11-04 04:00:00+00:00,4,80.83000183105469,81.41000366210938,80.79000091552734,81.31999969482422,81.31999969482422,21917.0,1.4561121944462582e+18,2.0,1.0,1.0,0.0,1.4561121944462582e+18,,,0.158,0.806,0.036,-0.6597
2021-11-04 06:00:00+00:00,6,81.58000183105469,82.37999725341797,81.56999969482422,82.31999969482422,82.31999969482422,21560.0,1.456145819011195e+18,0.0,0.0,0.0,0.0,1.4558550178150154e+18,,1.45612232410146e+18,0.0,1.0,0.0,0.0
2021-11-05 14:00:00+00:00,14,81.56999969482422,81.80000305175781,81.22000122070312,81.43000030517578,81.43000030517578,71489.0,1.4566289024540877e+18,0.0,0.0,0.0,0.0,1.4564788835916431e+18,,1.456560682074362e+18,0.079,0.921,0.0,-0.34
2021-11-07 18:00:00+00:00,18,81.12999725341797,81.76000213623047,81.05000305175781,81.52999877929688,81.52999877929688,4862.0,1.4574131154533212e+18,0.0,0.0,0.0,0.0,1.4573876659937485e+18,,1.4573876659937485e+18,0.0,1.0,0.0,0.0
