_type,url,date,content,renderedContent,id,user,replyCount,retweetCount,likeCount,quoteCount,conversationId,lang,source,sourceUrl,sourceLabel,outlinks,tcooutlinks,media,retweetedTweet,quotedTweet,inReplyToTweetId,inReplyToUser,mentionedUsers,coordinates,place,hashtags,cashtags
snscrape.modules.twitter.Tweet,https://twitter.com/KevinDSamuel/status/1483227329824362498,2022-01-17 23:58:47+00:00,"The U.S. and the EU are no longer considering the option of unplugging Russia from the Swift international payments system if it attacks Ukraine, German newspaper Handelsblatt reported.

Oil &amp; gas.","The U.S. and the EU are no longer considering the option of unplugging Russia from the Swift international payments system if it attacks Ukraine, German newspaper Handelsblatt reported.

Oil &amp; gas.",1483227329824362498,"{'_type': 'snscrape.modules.twitter.User', 'username': 'KevinDSamuel', 'id': 382223500, 'displayname': 'KevinDSamuel', 'description': 'Honey.', 'rawDescription': 'Honey.', 'descriptionUrls': None, 'verified': False, 'created': '2011-09-29T18:02:33+00:00', 'followersCount': 362, 'friendsCount': 499, 'statusesCount': 29815, 'favouritesCount': 26448, 'listedCount': 0, 'mediaCount': 11255, 'location': 'British Columbia, Canada', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1442358414357581833/zlGVuzF1_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/382223500/1634611716', 'label': None, 'url': 'https://twitter.com/KevinDSamuel'}",1,0,1,0,1269130257891655680,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,,,,,,1.4831423063539876e+18,"{'_type': 'snscrape.modules.twitter.User', 'username': 'KevinDSamuel', 'id': 382223500, 'displayname': 'KevinDSamuel', 'description': 'Honey.', 'rawDescription': 'Honey.', 'descriptionUrls': None, 'verified': False, 'created': '2011-09-29T18:02:33+00:00', 'followersCount': 362, 'friendsCount': 499, 'statusesCount': 29815, 'favouritesCount': 26448, 'listedCount': 0, 'mediaCount': 11255, 'location': 'British Columbia, Canada', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1442358414357581833/zlGVuzF1_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/382223500/1634611716', 'label': None, 'url': 'https://twitter.com/KevinDSamuel'}",,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/beggarman4zero/status/1483223566254768130,2022-01-17 23:43:49+00:00,@_mumbling_me @AvidCommentator your observed oil moves may be precipitating Ukraine and Russia going kinetic.,@_mumbling_me @AvidCommentator your observed oil moves may be precipitating Ukraine and Russia going kinetic.,1483223566254768130,"{'_type': 'snscrape.modules.twitter.User', 'username': 'beggarman4zero', 'id': 20285183, 'displayname': 'Care Bear Capital 🇦🇺 🇺🇦', 'description': 'Duty First | WDW | ⚔️ | ♢', 'rawDescription': 'Duty First | WDW | ⚔️ | ♢', 'descriptionUrls': None, 'verified': False, 'created': '2009-02-07T00:28:41+00:00', 'followersCount': 472, 'friendsCount': 565, 'statusesCount': 25758, 'favouritesCount': 139999, 'listedCount': 7, 'mediaCount': 573, 'location': '🇦🇺', 'protected': False, 'linkUrl': 'https://warwidows.org.au/', 'linkTcourl': 'https://t.co/FG001wWpGX', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1462504595066802176/kc26w49d_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/20285183/1582717897', 'label': None, 'url': 'https://twitter.com/beggarman4zero'}",1,0,3,0,1483217253743357952,en,"<a href=""https://onloft.com/tweetlogix"" rel=""nofollow"">Tweetlogix</a>",https://onloft.com/tweetlogix,Tweetlogix,,,,,,1.483217253743358e+18,"{'_type': 'snscrape.modules.twitter.User', 'username': '_mumbling_me', 'id': 819465738310139904, 'displayname': 'The Portfolio Trader', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/_mumbling_me'}","[{'_type': 'snscrape.modules.twitter.User', 'username': '_mumbling_me', 'id': 819465738310139904, 'displayname': 'The Portfolio Trader', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/_mumbling_me'}, {'_type': 'snscrape.modules.twitter.User', 'username': 'AvidCommentator', 'id': 1028901576558034944, 'displayname': 'Avid Commentator 🇦🇺', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/AvidCommentator'}]",,,,
snscrape.modules.twitter.Tweet,https://twitter.com/JoannaB19300468/status/1483215993946218497,2022-01-17 23:13:44+00:00,"The UK wants people to have zero emissions but yet, the British Royal  Family Commanders are helping NATO/Ukraine steal Russia's oil. We have mixed messages here. If the UK wants zero emissions than why fight Russia? Who is behind making the people suffer with no Petrol vehicles? https://t.co/m4ABL90jci","The UK wants people to have zero emissions but yet, the British Royal  Family Commanders are helping NATO/Ukraine steal Russia's oil. We have mixed messages here. If the UK wants zero emissions than why fight Russia? Who is behind making the people suffer with no Petrol vehicles? twitter.com/Telegraph/stat…",1483215993946218497,"{'_type': 'snscrape.modules.twitter.User', 'username': 'JoannaB19300468', 'id': 1182341157117943809, 'displayname': 'Joanna Bradley', 'description': 'The Best Professional Commercial Photographer. I Specialize in Corporate Branding & Fine Art. NOT ALLOWED to work; I am Blacklisted by the UK Royal Family', 'rawDescription': 'The Best Professional Commercial Photographer. I Specialize in Corporate Branding & Fine Art. NOT ALLOWED to work; I am Blacklisted by the UK Royal Family', 'descriptionUrls': None, 'verified': False, 'created': '2019-10-10T17:05:00+00:00', 'followersCount': 180, 'friendsCount': 5001, 'statusesCount': 13826, 'favouritesCount': 1356, 'listedCount': 1, 'mediaCount': 84, 'location': 'Allen, TX', 'protected': False, 'linkUrl': 'http://linkedin.com/pulse/joanna-bradley-commercial-fine-art-photographer-who-branding-bradley-1e/', 'linkTcourl': 'https://t.co/Xe2WrFgc1B', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1269294750693314562/QqsO7UQu_normal.jpg', 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/JoannaB19300468'}",0,0,0,0,1483215993946218497,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,['https://twitter.com/Telegraph/status/1483212775396622338'],['https://t.co/m4ABL90jci'],,,"{'_type': 'snscrape.modules.twitter.Tweet', 'url': 'https://twitter.com/Telegraph/status/1483212775396622338', 'date': '2022-01-17T23:00:57+00:00', 'content': '🚙 Motorists in London could be charged by the mile under new plans to meet net zero targets https://t.co/zTKyyJ0xji', 'renderedContent': '🚙 Motorists in London could be charged by the mile under new plans to meet net zero targets telegraph.co.uk/news/2022/01/1…', 'id': 1483212775396622338, 'user': {'_type': 'snscrape.modules.twitter.User', 'username': 'Telegraph', 'id': 16343974, 'displayname': 'The Telegraph', 'description': 'Think ahead with the latest news, comment, analysis and video. \n\nSubscribe here: telegraph.co.uk/customer/subsc…', 'rawDescription': 'Think ahead with the latest news, comment, analysis and video. \n\nSubscribe here: https://t.co/jRf9lAo5nY', 'descriptionUrls': [{'text': 'telegraph.co.uk/customer/subsc…', 'url': 'https://www.telegraph.co.uk/customer/subscribe/', 'tcourl': 'https://t.co/jRf9lAo5nY', 'indices': [81, 104]}], 'verified': True, 'created': '2008-09-18T06:50:54+00:00', 'followersCount': 3230469, 'friendsCount': 884, 'statusesCount': 480439, 'favouritesCount': 374, 'listedCount': 20721, 'mediaCount': 94503, 'location': 'London, UK', 'protected': False, 'linkUrl': 'http://www.telegraph.co.uk/?WT.mc_id=tw', 'linkTcourl': 'https://t.co/ALkkPczVm5', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/943090005723041792/2cjxINlJ_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/16343974/1636616618', 'label': None, 'url': 'https://twitter.com/Telegraph'}, 'replyCount': 22, 'retweetCount': 13, 'likeCount': 11, 'quoteCount': 8, 'conversationId': 1483212775396622338, 'lang': 'en', 'source': '<a href=""https://www.echobox.com"" rel=""nofollow"">Echobox</a>', 'sourceUrl': 'https://www.echobox.com', 'sourceLabel': 'Echobox', 'outlinks': ['https://www.telegraph.co.uk/news/2022/01/17/sadiq-khan-considers-charging-london-drivers-mile-meet-net-zero/?utm_content=telegraph&utm_medium=Social&utm_campaign=Echobox&utm_source=Twitter#Echobox=1642455751'], 'tcooutlinks': ['https://t.co/zTKyyJ0xji'], 'media': None, 'retweetedTweet': None, 'quotedTweet': None, 'inReplyToTweetId': None, 'inReplyToUser': None, 'mentionedUsers': None, 'coordinates': None, 'place': None, 'hashtags': None, 'cashtags': None}",,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/ag_trader/status/1483213561275076609,2022-01-17 23:04:04+00:00,"This Russia/Ukraine buildup is keeping oil and gasoline prices pinned higher than they should be?   Add this to the companies raising prices in January 8-20% on sp many different goods, and you have a terrible inflation print coming. 

 .50","This Russia/Ukraine buildup is keeping oil and gasoline prices pinned higher than they should be?   Add this to the companies raising prices in January 8-20% on sp many different goods, and you have a terrible inflation print coming. 

 .50",1483213561275076609,"{'_type': 'snscrape.modules.twitter.User', 'username': 'ag_trader', 'id': 73465112, 'displayname': 'AGTrader', 'description': '/NQ and /UB.  I play the short side.  1 min chess player (2306)\nCan you remain unmoving until the right action arises by itself?', 'rawDescription': '/NQ and /UB.  I play the short side.  1 min chess player (2306)\nCan you remain unmoving until the right action arises by itself?', 'descriptionUrls': None, 'verified': False, 'created': '2009-09-11T19:42:05+00:00', 'followersCount': 16623, 'friendsCount': 2432, 'statusesCount': 45277, 'favouritesCount': 36816, 'listedCount': 450, 'mediaCount': 3054, 'location': 'Chicago', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1385607106649264130/1aLC0S0R_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/73465112/1628492600', 'label': None, 'url': 'https://twitter.com/ag_trader'}",3,4,46,0,1483213561275076609,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://mobile.twitter.com,Twitter Web App,,,,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/Mat72337684/status/1483193508542492679,2022-01-17 21:44:23+00:00,"@calvinrobinson The US has been using Ukraine to prevoke Russia so it can further impose sanctions, i.e. stopping gas and oil exports to the EU. But don't worry, the US will supply the EU instead, at a price.

It's all about oil &amp; gas money, again.","@calvinrobinson The US has been using Ukraine to prevoke Russia so it can further impose sanctions, i.e. stopping gas and oil exports to the EU. But don't worry, the US will supply the EU instead, at a price.

It's all about oil &amp; gas money, again.",1483193508542492679,"{'_type': 'snscrape.modules.twitter.User', 'username': 'Mat72337684', 'id': 1328009497747595266, 'displayname': 'Mat', 'description': 'Engineering the world', 'rawDescription': 'Engineering the world', 'descriptionUrls': None, 'verified': False, 'created': '2020-11-15T16:18:40+00:00', 'followersCount': 10, 'friendsCount': 29, 'statusesCount': 321, 'favouritesCount': 32, 'listedCount': 0, 'mediaCount': 4, 'location': 'UK', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png', 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/Mat72337684'}",0,0,5,0,1483125301454462982,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://mobile.twitter.com,Twitter Web App,,,,,,1.483125301454463e+18,"{'_type': 'snscrape.modules.twitter.User', 'username': 'calvinrobinson', 'id': 75343905, 'displayname': 'Calvin 🏴\U000e0067\U000e0062\U000e0065\U000e006e\U000e0067\U000e007f', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/calvinrobinson'}","[{'_type': 'snscrape.modules.twitter.User', 'username': 'calvinrobinson', 'id': 75343905, 'displayname': 'Calvin 🏴\U000e0067\U000e0062\U000e0065\U000e006e\U000e0067\U000e007f', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/calvinrobinson'}]",,,,
snscrape.modules.twitter.Tweet,https://twitter.com/INArteCarloDoss/status/1483190275853934597,2022-01-17 21:31:32+00:00,"This chart was shared by my friend Clement. I think no one is really alert to the fact that if Ukraine/Russia situation doesn’t escalate, Oil markets positioning is very extended. If you are long, this is a price zone to scale-out of positions. https://t.co/8EYD4HxPrB","This chart was shared by my friend Clement. I think no one is really alert to the fact that if Ukraine/Russia situation doesn’t escalate, Oil markets positioning is very extended. If you are long, this is a price zone to scale-out of positions. https://t.co/8EYD4HxPrB",1483190275853934597,"{'_type': 'snscrape.modules.twitter.User', 'username': 'INArteCarloDoss', 'id': 1219258832985174017, 'displayname': 'Carlo Kitty Casio', 'description': 'half squid, half cat / iBlock / iPrint / all market tweets will migrate to @kittysquiddy by May / all follow requests need to be cleared via DM on here first', 'rawDescription': 'half squid, half cat / iBlock / iPrint / all market tweets will migrate to @kittysquiddy by May / all follow requests need to be cleared via DM on here first', 'descriptionUrls': None, 'verified': False, 'created': '2020-01-20T14:02:32+00:00', 'followersCount': 94491, 'friendsCount': 2517, 'statusesCount': 50538, 'favouritesCount': 84102, 'listedCount': 1865, 'mediaCount': 5772, 'location': 'Ninth Sphere ', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1507365283220049920/bDZZPIlg_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1219258832985174017/1649366694', 'label': None, 'url': 'https://twitter.com/INArteCarloDoss'}",8,9,125,0,1483190275853934597,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,,,"[{'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/FJVZsVlXIAAba3p?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/FJVZsVlXIAAba3p?format=jpg&name=large'}]",,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/triniarin/status/1483185782114471942,2022-01-17 21:13:41+00:00,"@sumlenny @GeraltNBF Well we need to see gas, oil import from Russia to Deutchland too. First they sell gas pipeline to Gasprom, then starting demolition of Nuclear Power plants - its obiovious corruption expanse by Russia not only to ocuppy Ukraine but to obtain whole Europe.","@sumlenny @GeraltNBF Well we need to see gas, oil import from Russia to Deutchland too. First they sell gas pipeline to Gasprom, then starting demolition of Nuclear Power plants - its obiovious corruption expanse by Russia not only to ocuppy Ukraine but to obtain whole Europe.",1483185782114471942,"{'_type': 'snscrape.modules.twitter.User', 'username': 'triniarin', 'id': 55390595, 'displayname': 'Andriy TrinnUA Semenov 🇺🇦', 'description': 'Трохи письменник, трохи малювальник, трохи танцюрист а працюю айтішніком в комунальному підприємстві. У минулому ""типа ігрожур"" і анімешнєг)', 'rawDescription': 'Трохи письменник, трохи малювальник, трохи танцюрист а працюю айтішніком в комунальному підприємстві. У минулому ""типа ігрожур"" і анімешнєг)', 'descriptionUrls': None, 'verified': False, 'created': '2009-07-09T22:53:06+00:00', 'followersCount': 117, 'friendsCount': 119, 'statusesCount': 3287, 'favouritesCount': 2118, 'listedCount': 1, 'mediaCount': 102, 'location': 'Kyiv', 'protected': False, 'linkUrl': 'http://trinnua.pp.ua', 'linkTcourl': 'https://t.co/mGJRIs2y73', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/3189679251/30524638681447773f16a4043492bf9f_normal.jpeg', 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/triniarin'}",0,0,0,0,1482861765260201987,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://mobile.twitter.com,Twitter Web App,,,,,,1.482861765260202e+18,"{'_type': 'snscrape.modules.twitter.User', 'username': 'sumlenny', 'id': 162063442, 'displayname': 'Sergej Sumlenny', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/sumlenny'}","[{'_type': 'snscrape.modules.twitter.User', 'username': 'sumlenny', 'id': 162063442, 'displayname': 'Sergej Sumlenny', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/sumlenny'}, {'_type': 'snscrape.modules.twitter.User', 'username': 'GeraltNBF', 'id': 76870919, 'displayname': 'Бандера та Паляниця', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/GeraltNBF'}]",,,,
snscrape.modules.twitter.Tweet,https://twitter.com/Joe11216073/status/1483183260507144192,2022-01-17 21:03:40+00:00,"@GracewagWagner @realpeterf @ACTBrigitte How did Trump raise inflation? Who stopped oil pipeline on their 1st day in office, who stopped US Energy independence, who continued economy shutdown &amp; stimulus $, who could careless about regulations &amp; supply chain, who is tied up with China Russia Ukraine corruption?","@GracewagWagner @realpeterf @ACTBrigitte How did Trump raise inflation? Who stopped oil pipeline on their 1st day in office, who stopped US Energy independence, who continued economy shutdown &amp; stimulus $, who could careless about regulations &amp; supply chain, who is tied up with China Russia Ukraine corruption?",1483183260507144192,"{'_type': 'snscrape.modules.twitter.User', 'username': 'Joe11216073', 'id': 1373642196100915222, 'displayname': 'Joe', 'description': '', 'rawDescription': '', 'descriptionUrls': None, 'verified': False, 'created': '2021-03-21T14:26:52+00:00', 'followersCount': 3, 'friendsCount': 109, 'statusesCount': 459, 'favouritesCount': 42, 'listedCount': 0, 'mediaCount': 12, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1373642361952034826/QZDUHF5c_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1373642196100915222/1616337212', 'label': None, 'url': 'https://twitter.com/Joe11216073'}",2,0,0,0,1482718803947667461,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,,,,,,1.4828683276094792e+18,"{'_type': 'snscrape.modules.twitter.User', 'username': 'GracewagWagner', 'id': 3244852680, 'displayname': 'Grace-Bettyfans', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/GracewagWagner'}","[{'_type': 'snscrape.modules.twitter.User', 'username': 'GracewagWagner', 'id': 3244852680, 'displayname': 'Grace-Bettyfans', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/GracewagWagner'}, {'_type': 'snscrape.modules.twitter.User', 'username': 'realpeterf', 'id': 1457334774079631361, 'displayname': 'Peter Finnegan', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/realpeterf'}, {'_type': 'snscrape.modules.twitter.User', 'username': 'ACTBrigitte', 'id': 722528529716383744, 'displayname': 'Brigitte Gabriel', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/ACTBrigitte'}]","{'_type': 'snscrape.modules.twitter.Coordinates', 'longitude': -122.035311, 'latitude': 37.193164}","{'_type': 'snscrape.modules.twitter.Place', 'fullName': 'San Jose, CA', 'name': 'San Jose', 'type': 'city', 'country': 'United States', 'countryCode': 'US'}",,
snscrape.modules.twitter.Tweet,https://twitter.com/StephenSklar6/status/1483148084351799304,2022-01-17 18:43:53+00:00,Germany says Russia will pay price if it moves on Ukraine #NewsBreak. Wow remember Germany gets it gas and oil from Russia  https://t.co/bJpHa6Qtg6,Germany says Russia will pay price if it moves on Ukraine #NewsBreak. Wow remember Germany gets it gas and oil from Russia  newsbreakapp.com/n/0dnldV24?pd=…,1483148084351799304,"{'_type': 'snscrape.modules.twitter.User', 'username': 'StephenSklar6', 'id': 1481604230976839680, 'displayname': 'Stephen Sklar', 'description': '', 'rawDescription': '', 'descriptionUrls': None, 'verified': False, 'created': '2022-01-13T12:29:37+00:00', 'followersCount': 0, 'friendsCount': 21, 'statusesCount': 112, 'favouritesCount': 0, 'listedCount': 0, 'mediaCount': 11, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1481776795481518085/z9dgp1Wt_normal.jpg', 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/StephenSklar6'}",0,0,1,0,1483148084351799304,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,['https://www.newsbreakapp.com/n/0dnldV24?pd=019HnSnb&lang=en_US&s=i2'],['https://t.co/bJpHa6Qtg6'],,,,,,,,,['NewsBreak'],
snscrape.modules.twitter.Tweet,https://twitter.com/PSuiteNetwork/status/1483145160280231943,2022-01-17 18:32:16+00:00,Russia isn't Invading Ukraine. Oil and Gas Are In Play. Holding Land Would Require Constant Security of Energy Sources and Pipelines. Easy Targets For Any Insurgency. It's Just Chess.,Russia isn't Invading Ukraine. Oil and Gas Are In Play. Holding Land Would Require Constant Security of Energy Sources and Pipelines. Easy Targets For Any Insurgency. It's Just Chess.,1483145160280231943,"{'_type': 'snscrape.modules.twitter.User', 'username': 'PSuiteNetwork', 'id': 235133788, 'displayname': 'Private Suite Network | John Cutler', 'description': ""#WorkingClass | Tweets are not Buy/Sell Advice | Do Your Own Research. Trust No Hedge Fund. Take Profits. Don't Be Greedy."", 'rawDescription': ""#WorkingClass | Tweets are not Buy/Sell Advice | Do Your Own Research. Trust No Hedge Fund. Take Profits. Don't Be Greedy."", 'descriptionUrls': None, 'verified': False, 'created': '2011-01-07T12:51:35+00:00', 'followersCount': 2035, 'friendsCount': 4498, 'statusesCount': 155047, 'favouritesCount': 68919, 'listedCount': 146, 'mediaCount': 2494, 'location': 'NJ NYC Philly AC Central NJ', 'protected': False, 'linkUrl': 'https://www.privateluxurysuites.com/', 'linkTcourl': 'https://t.co/yN6Fy4elIS', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1316533183/25-person_Suite_Front_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/235133788/1401306559', 'label': None, 'url': 'https://twitter.com/PSuiteNetwork'}",1,0,0,0,1483145160280231943,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://mobile.twitter.com,Twitter Web App,,,,,,,,,,,,
