_type,url,date,content,renderedContent,id,user,replyCount,retweetCount,likeCount,quoteCount,conversationId,lang,source,sourceUrl,sourceLabel,outlinks,tcooutlinks,media,retweetedTweet,quotedTweet,inReplyToTweetId,inReplyToUser,mentionedUsers,coordinates,place,hashtags,cashtags
snscrape.modules.twitter.Tweet,https://twitter.com/TheChestnutPost/status/1491558503248547844,2022-02-09 23:43:53+00:00,Will Russia-Ukraine conflict impact the US oil and gas industry? https://t.co/HYFYpUsEQh,Will Russia-Ukraine conflict impact the US oil and gas industry? thechestnutpost.com/news/will-russ…,1491558503248547844,"{'_type': 'snscrape.modules.twitter.User', 'username': 'TheChestnutPost', 'id': 880112324987822082, 'displayname': 'The Chestnut Post', 'description': 'Latest in Breaking News', 'rawDescription': 'Latest in Breaking News', 'descriptionUrls': None, 'verified': False, 'created': '2017-06-28T17:15:04+00:00', 'followersCount': 272, 'friendsCount': 0, 'statusesCount': 419956, 'favouritesCount': 5, 'listedCount': 5, 'mediaCount': 47626, 'location': 'Washington, DC', 'protected': False, 'linkUrl': 'http://TheChestnutPost.com', 'linkTcourl': 'https://t.co/jbLmk5sxqZ', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1087098624545153025/56X9wjaa_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/880112324987822082/1548019464', 'label': None, 'url': 'https://twitter.com/TheChestnutPost'}",0,0,0,0,1491558503248547844,en,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",http://publicize.wp.com/,WordPress.com,['https://www.thechestnutpost.com/news/will-russia-ukraine-conflict-impact-the-us-oil-and-gas-industry/'],['https://t.co/HYFYpUsEQh'],,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/rwhakim/status/1491557075851223042,2022-02-09 23:38:13+00:00,@IAmInertiaGG There won't be war in the Ukraine because Russia has a giant oil pipeline going through the Ukraine to the EU follow the money,@IAmInertiaGG There won't be war in the Ukraine because Russia has a giant oil pipeline going through the Ukraine to the EU follow the money,1491557075851223042,"{'_type': 'snscrape.modules.twitter.User', 'username': 'rwhakim', 'id': 2255547217, 'displayname': 'Robert W. Hakim', 'description': 'Activists/Screenwriter/Filmmaker\n\n\n\n\nPayPal. mé/rwhakim', 'rawDescription': 'Activists/Screenwriter/Filmmaker\n\n\n\n\nPayPal. mé/rwhakim', 'descriptionUrls': None, 'verified': False, 'created': '2013-12-20T21:26:22+00:00', 'followersCount': 53, 'friendsCount': 284, 'statusesCount': 942, 'favouritesCount': 1309, 'listedCount': 0, 'mediaCount': 35, 'location': 'Santa Ana, California', 'protected': False, 'linkUrl': 'http://www.youtube.com/rwhakim', 'linkTcourl': 'https://t.co/WohxWg69eV', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1495171804368818177/K2Tm2Rxy_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/2255547217/1559361805', 'label': None, 'url': 'https://twitter.com/rwhakim'}",0,0,0,0,1491543139403792391,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,,,,,,1.4915431394037924e+18,"{'_type': 'snscrape.modules.twitter.User', 'username': 'IAmInertiaGG', 'id': 3298460539, 'displayname': 'Tia 🇺🇦☮️🕊', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/IAmInertiaGG'}","[{'_type': 'snscrape.modules.twitter.User', 'username': 'IAmInertiaGG', 'id': 3298460539, 'displayname': 'Tia 🇺🇦☮️🕊', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/IAmInertiaGG'}]",,,,
snscrape.modules.twitter.Tweet,https://twitter.com/kingsteve1979/status/1491556467819704321,2022-02-09 23:35:48+00:00,Big oil draw https://t.co/Si7ZhLSViJ oil inventory reduced by 5 million barrels … they’re now at their lowest inventory since 2018 and fuel demand coming to an all time high. Oil is easily hitting $100 a barrel and if the Russia Ukraine shit gets worse 125 a barrel. https://t.co/61wTw9L5ms,Big oil draw reported.US oil inventory reduced by 5 million barrels … they’re now at their lowest inventory since 2018 and fuel demand coming to an all time high. Oil is easily hitting $100 a barrel and if the Russia Ukraine shit gets worse 125 a barrel. https://t.co/61wTw9L5ms,1491556467819704321,"{'_type': 'snscrape.modules.twitter.User', 'username': 'kingsteve1979', 'id': 1318003023939948544, 'displayname': 'king steve', 'description': '', 'rawDescription': '', 'descriptionUrls': None, 'verified': False, 'created': '2020-10-19T01:36:34+00:00', 'followersCount': 12, 'friendsCount': 3, 'statusesCount': 1178, 'favouritesCount': 116, 'listedCount': 0, 'mediaCount': 297, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1490899305233715201/HRmt1bQr_normal.jpg', 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/kingsteve1979'}",0,1,2,0,1491556467819704321,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,['http://reported.US'],['https://t.co/Si7ZhLSViJ'],"[{'_type': 'snscrape.modules.twitter.Gif', 'thumbnailUrl': 'https://pbs.twimg.com/tweet_video_thumb/FLMSsx5VEAQOgge.jpg', 'variants': [{'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'video/mp4', 'url': 'https://video.twimg.com/tweet_video/FLMSsx5VEAQOgge.mp4', 'bitrate': 0}]}]",,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/ThriftWallet/status/1491550290306342920,2022-02-09 23:11:15+00:00,"Oil could ‘easily’ hit $120 if Russia-Ukraine crisis escalates, JPMorgan warns https://t.co/0hl3N7Tbpk","Oil could ‘easily’ hit $120 if Russia-Ukraine crisis escalates, JPMorgan warns thriftyourwallet.com/oil-could-easi…",1491550290306342920,"{'_type': 'snscrape.modules.twitter.User', 'username': 'ThriftWallet', 'id': 1394986733851217921, 'displayname': 'Thrift Your Wallet', 'description': 'Online Shopping  Where you can save your savings on purchasing💰..🤑', 'rawDescription': 'Online Shopping  Where you can save your savings on purchasing💰..🤑', 'descriptionUrls': None, 'verified': False, 'created': '2021-05-19T12:02:26+00:00', 'followersCount': 211, 'friendsCount': 188, 'statusesCount': 498713, 'favouritesCount': 2, 'listedCount': 1, 'mediaCount': 142, 'location': 'United States', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1394987553325867008/mm3VNOM9_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1394986733851217921/1621508967', 'label': None, 'url': 'https://twitter.com/ThriftWallet'}",0,0,0,0,1491550290306342920,en,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",http://publicize.wp.com/,WordPress.com,['https://thriftyourwallet.com/oil-could-easily-hit-120-if-russia-ukraine-crisis-escalates-jpmorgan-warns/'],['https://t.co/0hl3N7Tbpk'],,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/drogon_dracarys/status/1491547796150923271,2022-02-09 23:01:20+00:00,"Oil prices could soar to $120 a barrel if Russia's crude exports are derailed by tensions with Ukraine, according to projections from JPMorgan. https://t.co/kxz5vikJqq","Oil prices could soar to $120 a barrel if Russia's crude exports are derailed by tensions with Ukraine, according to projections from JPMorgan. cnn.com/2022/02/09/inv…",1491547796150923271,"{'_type': 'snscrape.modules.twitter.User', 'username': 'drogon_dracarys', 'id': 3230198245, 'displayname': 'Drogon', 'description': 'Football (American and soccer/Chelsea FC), tennis, classic movies, and GOT (obviously) fan', 'rawDescription': 'Football (American and soccer/Chelsea FC), tennis, classic movies, and GOT (obviously) fan', 'descriptionUrls': None, 'verified': False, 'created': '2015-05-29T23:31:31+00:00', 'followersCount': 720, 'friendsCount': 573, 'statusesCount': 280778, 'favouritesCount': 6572, 'listedCount': 15, 'mediaCount': 5440, 'location': 'Flying around USA', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/839821271164571648/QfbHNWSq_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/3230198245/1495736553', 'label': None, 'url': 'https://twitter.com/drogon_dracarys'}",2,0,1,0,1491547796150923271,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,['https://www.cnn.com/2022/02/09/investing/russia-oil-prices/index.html'],['https://t.co/kxz5vikJqq'],,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/TokinNomiks/status/1491547507603787791,2022-02-09 23:00:12+00:00,@CNN It’s always been about the Russian oil and the pipeline that runs through Ukraine the west wants to control it and Russia won’t let that happen,@CNN It’s always been about the Russian oil and the pipeline that runs through Ukraine the west wants to control it and Russia won’t let that happen,1491547507603787791,"{'_type': 'snscrape.modules.twitter.User', 'username': 'TokinNomiks', 'id': 1437891011284512773, 'displayname': 'roger', 'description': '', 'rawDescription': '', 'descriptionUrls': None, 'verified': False, 'created': '2021-09-14T21:29:04+00:00', 'followersCount': 23, 'friendsCount': 138, 'statusesCount': 1822, 'favouritesCount': 67, 'listedCount': 3, 'mediaCount': 14, 'location': 'Texas, USA', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1491168270627581952/O7EjMTSv_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1437891011284512773/1645541650', 'label': None, 'url': 'https://twitter.com/TokinNomiks'}",0,0,2,0,1491528853172461572,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,,,,,,1.4915288531724616e+18,"{'_type': 'snscrape.modules.twitter.User', 'username': 'CNN', 'id': 759251, 'displayname': 'CNN', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/CNN'}","[{'_type': 'snscrape.modules.twitter.User', 'username': 'CNN', 'id': 759251, 'displayname': 'CNN', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/CNN'}]",,,,
snscrape.modules.twitter.Tweet,https://twitter.com/UNISdirect/status/1491547464263942145,2022-02-09 23:00:01+00:00,"Why #UkraineMatters!!!
Oil will hit $120 a barrel if #Russia invades #Ukraine: David Roche
#StopRussianAggression #USAarmUkraine #NATO #RussiaSanctionsNow  https://t.co/GiKLxuySBJ","Why #UkraineMatters!!!
Oil will hit $120 a barrel if #Russia invades #Ukraine: David Roche
#StopRussianAggression #USAarmUkraine #NATO #RussiaSanctionsNow  cnbc.com/2022/02/09/oil…",1491547464263942145,"{'_type': 'snscrape.modules.twitter.User', 'username': 'UNISdirect', 'id': 2305780065, 'displayname': 'UNIS', 'description': 'Representing the Ukrainian community! Ukraine invaded by Russia...Freedom is precious - defend it wisely!', 'rawDescription': 'Representing the Ukrainian community! Ukraine invaded by Russia...Freedom is precious - defend it wisely!', 'descriptionUrls': None, 'verified': False, 'created': '2014-01-26T14:26:07+00:00', 'followersCount': 1297, 'friendsCount': 2362, 'statusesCount': 11663, 'favouritesCount': 5170, 'listedCount': 24, 'mediaCount': 927, 'location': 'Washington DC', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1504893977362935808/vhOz21k7_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/2305780065/1647543575', 'label': None, 'url': 'https://twitter.com/UNISdirect'}",0,2,3,0,1491547464263942145,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,['https://www.cnbc.com/2022/02/09/oil-will-hit-120-a-barrel-if-russia-invades-ukraine-david-roche.html'],['https://t.co/GiKLxuySBJ'],,,,,,,,,"['UkraineMatters', 'Russia', 'Ukraine', 'StopRussianAggression', 'USAarmUkraine', 'NATO', 'RussiaSanctionsNow']",
snscrape.modules.twitter.Tweet,https://twitter.com/blackarcintel/status/1491546641245028352,2022-02-09 22:56:45+00:00,"New post: ""JPMorgan: Oil Could Easily Hit $120 If Russia-Ukraine Tensions Escalate"" https://t.co/bVBV0lGAnv","New post: ""JPMorgan: Oil Could Easily Hit $120 If Russia-Ukraine Tensions Escalate"" ift.tt/aDCJIMK",1491546641245028352,"{'_type': 'snscrape.modules.twitter.User', 'username': 'blackarcintel', 'id': 1009977973942964226, 'displayname': 'BlackArc Intel', 'description': ""Former three letter somebody now harvesting information online. USMC 12 years, agency stuff after. Don't @ me if you aren't human."", 'rawDescription': ""Former three letter somebody now harvesting information online. USMC 12 years, agency stuff after. Don't @ me if you aren't human."", 'descriptionUrls': None, 'verified': False, 'created': '2018-06-22T01:54:48+00:00', 'followersCount': 59, 'friendsCount': 198, 'statusesCount': 16762, 'favouritesCount': 409, 'listedCount': 4, 'mediaCount': 43, 'location': 'Global Feed', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1009981470989881345/Bdtyo1o3_normal.jpg', 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/blackarcintel'}",0,0,0,0,1491546641245028352,en,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",https://ifttt.com,IFTTT,['https://ift.tt/aDCJIMK'],['https://t.co/bVBV0lGAnv'],,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/staibenecosi79/status/1491546534923710466,2022-02-09 22:56:20+00:00,JPMorgan: Oil Could Easily Hit $120 If Russia-Ukraine Tensions Escalate https://t.co/F60dnjmWbB,JPMorgan: Oil Could Easily Hit $120 If Russia-Ukraine Tensions Escalate ift.tt/aDCJIMK,1491546534923710466,"{'_type': 'snscrape.modules.twitter.User', 'username': 'staibenecosi79', 'id': 2607358237, 'displayname': 'Fabio', 'description': '', 'rawDescription': '', 'descriptionUrls': None, 'verified': False, 'created': '2014-07-06T11:47:48+00:00', 'followersCount': 26, 'friendsCount': 113, 'statusesCount': 16830, 'favouritesCount': 1195, 'listedCount': 0, 'mediaCount': 43, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png', 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/staibenecosi79'}",0,0,0,0,1491546534923710466,en,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",https://ifttt.com,IFTTT,['https://ift.tt/aDCJIMK'],['https://t.co/F60dnjmWbB'],,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/goldsheet/status/1491545656653225986,2022-02-09 22:52:50+00:00,Oil prices rose late on Wednesday afternoon with Brent reaching just shy of $92 per barrel. But JPMorgan is warning that Brent crude could “easily” reach $120 per barrel—if the geopolitical conditions between Russia and Ukraine deteriorate. The price spi… https://t.co/IdKW2mzzM4,Oil prices rose late on Wednesday afternoon with Brent reaching just shy of $92 per barrel. But JPMorgan is warning that Brent crude could “easily” reach $120 per barrel—if the geopolitical conditions between Russia and Ukraine deteriorate. The price spi… oilprice.com/Latest-Energy-…,1491545656653225986,"{'_type': 'snscrape.modules.twitter.User', 'username': 'goldsheet', 'id': 8572192, 'displayname': 'goldsheet', 'description': 'Mining, energy, and numismatic RSS feeds, \na few of my tweets, and directories: \nMining goldsheetlinks.com\nCoins coinsheetlinks.com\nEnergy oilsheetlinks.com', 'rawDescription': 'Mining, energy, and numismatic RSS feeds, \na few of my tweets, and directories: \nMining https://t.co/EDKJYSW95K\nCoins https://t.co/ZUWykH68jH\nEnergy https://t.co/X2KIIcdr3R', 'descriptionUrls': [{'text': 'goldsheetlinks.com', 'url': 'http://goldsheetlinks.com', 'tcourl': 'https://t.co/EDKJYSW95K', 'indices': [88, 111]}, {'text': 'coinsheetlinks.com', 'url': 'http://coinsheetlinks.com', 'tcourl': 'https://t.co/ZUWykH68jH', 'indices': [118, 141]}, {'text': 'oilsheetlinks.com', 'url': 'http://oilsheetlinks.com', 'tcourl': 'https://t.co/X2KIIcdr3R', 'indices': [149, 172]}], 'verified': False, 'created': '2007-09-01T03:27:00+00:00', 'followersCount': 2794, 'friendsCount': 4881, 'statusesCount': 45048, 'favouritesCount': 723, 'listedCount': 39, 'mediaCount': 6417, 'location': 'Oceanside, California, USA', 'protected': False, 'linkUrl': 'https://linktr.ee/goldsheet', 'linkTcourl': 'https://t.co/7zgaAvLpgN', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/471468223158702081/S8lpDh1i_normal.png', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/8572192/1596753680', 'label': None, 'url': 'https://twitter.com/goldsheet'}",0,0,0,0,1491545656653225986,en,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",https://ifttt.com,IFTTT,['https://oilprice.com/Latest-Energy-News/World-News/JPMorgan-Oil-Could-Easily-Hit-120-If-Russia-Ukraine-Tensions-Escalate.html'],['https://t.co/IdKW2mzzM4'],,,,,,,,,,
